CVCL	label
cellosaurus:CVCL_C600	FM69
cellosaurus:CVCL_C602	FM72
cellosaurus:CVCL_C603	FM74
cellosaurus:CVCL_9677	FM76
cellosaurus:CVCL_C606	FM78
cellosaurus:CVCL_C607	FM79
cellosaurus:CVCL_C609	FM82
cellosaurus:CVCL_C610	FM86
cellosaurus:CVCL_9679	FM88
cellosaurus:CVCL_C582	FM9
cellosaurus:CVCL_C615	FM92
cellosaurus:CVCL_C618	FM95
cellosaurus:CVCL_2444	fR2
cellosaurus:CVCL_1219	FTC-133
cellosaurus:CVCL_1219	FTC-133
cellosaurus:CVCL_2447	FTC-238
cellosaurus:CVCL_2447	FTC-238
cellosaurus:CVCL_M815	FU-DDLS-1
cellosaurus:CVCL_2047	FU-OV-1
cellosaurus:CVCL_2047	FU-OV-1
cellosaurus:CVCL_2908	Fu97
cellosaurus:CVCL_2908	Fu97
cellosaurus:CVCL_2908	Fu97
cellosaurus:CVCL_2908	Fu97
cellosaurus:CVCL_2908	Fu97
cellosaurus:CVCL_D880	Fuji
cellosaurus:CVCL_2909	G-292 clone A141B1
cellosaurus:CVCL_2909	G-292 clone A141B1
cellosaurus:CVCL_1221	G-402
cellosaurus:CVCL_1221	G-402
cellosaurus:CVCL_1221	G-402
cellosaurus:CVCL_1221	G-402
cellosaurus:CVCL_DG66	G166
cellosaurus:CVCL_DG69	G179
cellosaurus:CVCL_1226	GaMG
cellosaurus:CVCL_1226	GaMG
cellosaurus:CVCL_7956	GAY2911
cellosaurus:CVCL_1227	GB-1
cellosaurus:CVCL_DG58	GBM2
cellosaurus:CVCL_DG63	GBM7
cellosaurus:CVCL_1229	GCT
cellosaurus:CVCL_1229	GCT
cellosaurus:CVCL_1229	GCT
cellosaurus:CVCL_1229	GCT
cellosaurus:CVCL_1229	GCT
cellosaurus:CVCL_1229	GCT
cellosaurus:CVCL_A344	GCT 27
cellosaurus:CVCL_1230	GDM-1
cellosaurus:CVCL_1230	GDM-1
cellosaurus:CVCL_1230	GDM-1
cellosaurus:CVCL_1231	GI-1
cellosaurus:CVCL_7042	GIST522
cellosaurus:CVCL_7043	GIST62
cellosaurus:CVCL_8204	GLC-14
cellosaurus:CVCL_8215	GLC-36
cellosaurus:CVCL_8218	GLC-8
cellosaurus:CVCL_8218	GLC-8
cellosaurus:CVCL_DG67	GliNS2
cellosaurus:CVCL_R580	GM06991
cellosaurus:CVCL_1233	GMS-10
